stt,title,road,parking,square,price,dis_q,dis,date
7001,"145tr/m2 x 81m,MT 8m ngõ Trần Quý Kiên - Thành nhà thật cần bán nhà Trần Quý Kiên Cầu Giấy","2,5m",0,81.0,"11,8 tỷ",Quận Cầu Giấy,"Phố Trần Quý Kiên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",05/05/2023
7002,186tr/m2 x 300m Thành nhà thật Bán đất mặt phố Hoàng Hoa Thám - Bán Bán nhà riêng Tây Hồ,11m,0,300.0,61 tỷ,Quận Ba Đình,"Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội",05/05/2023
7003,"71,1 tr/m2 x 30m đấ tặng nhà Thành nhà thật, bất động sản tại Đường An Dương Vương Tây Hồ",2m,0,30.0,"2,15 tỷ",Quận Bắc Từ Liêm,"Đường An Dương Vương, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7004,"66,66 tr/m2 x 72m đất; tặng nhà. Thành nhà thật bán nhà đất  Đông Ngạc, Bắc Từ Liêm","2,5m",0,72.0,"4,8 tỷ",Quận Bắc Từ Liêm,"Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7005,"206tr/m2 x 62m đất, tặng nhà. Thành nhà thật Bán Nhà khu Goldmark city, Nam Từ Liêm",6m,0,62.0,"12,8 tỷ",Quận Nam Từ Liêm,"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",05/05/2023
7006,"261tr/m2 x 191m2, MT:4,1m. Thành nhà thật Bán nhà mặt phố Nguyễn Khánh Toàn Cầu Giấy",50m,0,191.0,50 tỷ,Quận Cầu Giấy,"Đường Nguyễn Khánh Toàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",05/05/2023
7007,"150tr/m2 x 150m,MT 7,5m.Thành nhà thật bán nhà ngõ 445 Lạc Long Quân, Bán nhà riêng Tây Hồ",10m,0,150.0,23 tỷ,Quận Tây Hồ,"Đường Lạc Long Quân, Phường Xuân La, Quận Tây Hồ, Hà Nội",05/05/2023
7008,Hơn 100tr/m2 đất mặt phố Nhật tảo; tặng nhà. Thành nhà thật Bán nhà phường Đông Ngạc,15m,0,99.0,13 tỷ,Quận Bắc Từ Liêm,"Đường Nhật Tảo, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7009,"120tr/m2 x 500m Đất thổ cư + vườn , mặt đường Lạc Long Quân, Thành nhà thật Bán nhà Tây Hồ",40m,0,500.0,61 tỷ,Quận Tây Hồ,"Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",05/05/2023
7010,"Đất 72tr/m2 x 62m, mặt tiền 4,4m Thành nhà thật Bán đất Bắc Từ Liêm - Bán đất Đỗ Nhuận","2,2m",0,62.0,"4,45 tỷ",Quận Bắc Từ Liêm,"Đường Đỗ Nhuận, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
